key,group,title,description,active,has_outrights
soccer_conmebol_copa_libertadores,Soccer,Copa Libertadores,CONMEBOL Copa Libertadores,True,False
soccer_conmebol_copa_sudamericana,Soccer,Copa Sudamericana,CONMEBOL Copa Sudamericana,True,False
soccer_denmark_superliga,Soccer,Denmark Superliga,Danish Soccer,True,False
soccer_efl_champ,Soccer,Championship,EFL Championship,True,False
soccer_england_league1,Soccer,League 1,EFL League 1,True,False
soccer_england_league2,Soccer,League 2,EFL League 2 ,True,False
soccer_epl,Soccer,EPL,English Premier League,True,False
soccer_fa_cup,Soccer,FA Cup,Football Association Challenge Cup,True,False
soccer_fifa_world_cup,Soccer,FIFA World Cup,FIFA World Cup 2026,True,False
soccer_fifa_world_cup_winner,Soccer,FIFA World Cup Winner,FIFA World Cup Winner 2026,True,True
soccer_finland_veikkausliiga,Soccer,Veikkausliiga - Finland,Finnish  Soccer,True,False
soccer_france_coupe_de_france,Soccer,Coupe de France,French Soccer,True,False
soccer_france_ligue_one,Soccer,Ligue 1 - France,French Soccer,True,False
soccer_france_ligue_two,Soccer,Ligue 2 - France,French Soccer,True,False
soccer_germany_bundesliga,Soccer,Bundesliga - Germany,German Soccer,True,False
soccer_germany_bundesliga2,Soccer,Bundesliga 2 - Germany,German Soccer,True,False
soccer_germany_dfb_pokal,Soccer,DFB-Pokal,German Soccer,True,False
soccer_germany_liga3,Soccer,3. Liga - Germany,German Soccer,True,False
soccer_greece_super_league,Soccer,Super League - Greece,Greek Soccer,True,False
soccer_italy_serie_a,Soccer,Serie A - Italy,Italian Soccer,True,False
soccer_italy_serie_b,Soccer,Serie B - Italy,Italian Soccer,True,False
soccer_japan_j_league,Soccer,J League,Japan Soccer League,True,False
soccer_korea_kleague1,Soccer,K League 1,Korean Soccer,True,False
soccer_league_of_ireland,Soccer,League of Ireland,Airtricity League Premier Division,True,False
soccer_mexico_ligamx,Soccer,Liga MX,Mexican Soccer,True,False
soccer_netherlands_eredivisie,Soccer,Dutch Eredivisie,Dutch Soccer,True,False
soccer_norway_eliteserien,Soccer,Eliteserien - Norway,Norwegian Soccer,True,False
soccer_poland_ekstraklasa,Soccer,Ekstraklasa - Poland,Polish Soccer,True,False
soccer_portugal_primeira_liga,Soccer,Primeira Liga - Portugal,Portugese Soccer,True,False
soccer_russia_premier_league,Soccer,Premier League - Russia,Russian Soccer,True,False
soccer_saudi_arabia_pro_league,Soccer,Saudi Pro League,Saudi Soccer,True,False
soccer_spain_copa_del_rey,Soccer,Copa del Rey,Spanish Soccer,True,False
soccer_spain_la_liga,Soccer,La Liga - Spain,Spanish Soccer,True,False
soccer_spain_segunda_division,Soccer,La Liga 2 - Spain,Spanish Soccer,True,False
soccer_spl,Soccer,Premiership - Scotland,Scottish Premiership,True,False
soccer_sweden_allsvenskan,Soccer,Allsvenskan - Sweden,Swedish Soccer,True,False
soccer_sweden_superettan,Soccer,Superettan - Sweden,Swedish Soccer,True,False
soccer_switzerland_superleague,Soccer,Swiss Superleague,Swiss Soccer,True,False
soccer_turkey_super_league,Soccer,Turkey Super League,Turkish Soccer,True,False
soccer_uefa_champs_league,Soccer,UEFA Champions League,European Champions League,True,False
soccer_uefa_europa_conference_league,Soccer,UEFA Europa Conference League,UEFA Europa Conference League,True,False
soccer_uefa_europa_league,Soccer,UEFA Europa League,European Europa League,True,False
soccer_usa_mls,Soccer,MLS,Major League Soccer,True,False
tennis_atp_monte_carlo_masters,Tennis,ATP Monte-Carlo Masters,Men's Singles,True,False
